ptcut,etcut,mode,order,mlow,mhigh,sigma_fb,unc_stat_fb,unc_lumi_fb,N_selected,N_background,eff,delta_df,delta_ss,data_n_total,data_n_after_mass,data_n_after_iso,data_n_after_mass_and_iso
4,6,df,iso -> df -> ss,66,116,2242752.551333333,459.80392938148907,38126.79337266666,24001440.0,70335.49795487254,0.2915414426236217,15694.022247699919,,26363258,24783058,25484512,24001440
4,6,ss,iso -> df -> ss,66,116,2244127.864496731,460.09730398834773,38150.173696444435,24000259.858047325,70335.49795487254,0.29134840322233946,,1180.1419526766151,26363258,24783058,25484512,24001440
4,6,df+ss,iso -> df -> ss,66,116,2242641.9519092627,459.79265807833855,38124.913182457465,24000259.858047325,70335.49795487254,0.2915414426236217,15694.022247699919,1180.1419526766151,26363258,24783058,25484512,24001440
4,7,none,iso -> df -> ss,66,116,2244428.4119425984,458.66627564509406,38155.283003024175,24156827.0,70828.91940795492,0.2932093426323902,,,26363258,24783058,25649687,24156827
4,7,df,iso -> df -> ss,66,116,2242934.5201544636,458.3609873235621,38129.886842625885,24156827.0,70828.91940795492,0.29340463278697426,15877.007545818691,,26363258,24783058,25649687,24156827
4,7,ss,iso -> df -> ss,66,116,2244313.9825197835,458.65465159383757,38153.337702836325,24155599.00500421,70828.91940795492,0.2932093426323902,,1227.9949957925346,26363258,24783058,25649687,24156827
4,7,df+ss,iso -> df -> ss,66,116,2242820.166895885,458.3493710092754,38127.942837230046,24155599.00500421,70828.91940795492,0.29340463278697426,15877.007545818691,1227.9949957925346,26363258,24783058,25649687,24156827
4,8,none,iso -> df -> ss,66,116,2244876.91462331,457.8893225777831,38162.90754859627,24248638.0,71122.72662860824,0.2942646185615325,,,26363258,24783058,25747588,24248638
4,8,df,iso -> df -> ss,66,116,2243369.768249466,457.58190873800885,38137.28606024093,24248638.0,71122.72662860824,0.2944623121647416,16072.406909590136,,26363258,24783058,25747588,24248638
4,8,ss,iso -> df -> ss,66,116,2244758.9519827547,457.8773623207501,38160.902183706836,24247367.532329757,71122.72662860824,0.2942646185615325,,1270.4676702440872,26363258,24783058,25747588,24248638
4,8,df+ss,iso -> df -> ss,66,116,2243251.8848056654,457.56995651075147,38135.282041696315,24247367.532329757,71122.72662860824,0.2944623121647416,16072.406909590136,1270.4676702440872,26363258,24783058,25747588,24248638
4,9,none,iso -> df -> ss,66,116,2245572.6564364363,457.4707870963712,38174.73515941942,24308102.0,71301.69904910945,0.2948947817822124,,,26363258,24783058,25811004,24308102
